"","NA06993"
"SNP_A-1677174",2
"SNP_A-1718890",1.71
"SNP_A-1678466",1.2
"SNP_A-1676440",1.13
"SNP_A-1662392",1.42
"SNP_A-1685736",0.97
"SNP_A-1681384",2.17
"SNP_A-1668776",1.76
"SNP_A-1642581",2.6
"SNP_A-1669029",1.64
"SNP_A-1723597",2.17
"SNP_A-1718237",2.08
"SNP_A-1748467",1.5
"SNP_A-1728870",1.73
"SNP_A-1669946",2.62
"SNP_A-1708099",1.91
"SNP_A-1716798",1.77
"SNP_A-1701872",1.93
"SNP_A-1705537",2.04
"SNP_A-1683756",2.01
"SNP_A-1697748",2
"SNP_A-1699138",2.13
"SNP_A-1696782",1.59
"SNP_A-1750020",1.84
"SNP_A-1673422",2
"SNP_A-1670878",2.39
"SNP_A-1743511",2.08
"SNP_A-1646481",1.71
"SNP_A-1736635",1.94
"SNP_A-1666738",2.24
"SNP_A-1721407",1.09
"SNP_A-1686722",2.13
"SNP_A-1701882",1.91
"SNP_A-1701982",2.02
"SNP_A-1737197",1.43
"SNP_A-1754224",2.11
"SNP_A-1749896",1.76
"SNP_A-1750090",2.16
"SNP_A-1642231",2.04
"SNP_A-1714480",1.53
"SNP_A-1712765",1.21
"SNP_A-1710770",2.29
"SNP_A-1649717",1.93
"SNP_A-1684884",1.66
"SNP_A-1658786",1.43
"SNP_A-1688090",1.28
"SNP_A-1703834",1.99
"SNP_A-1695724",2.03
"SNP_A-1645394",1.58
"SNP_A-1693756",2.51
"SNP_A-1680604",2.47
"SNP_A-1690704",2.22
"SNP_A-1665024",1.53
"SNP_A-1743269",1.94
"SNP_A-1703367",1.47
"SNP_A-1722718",1.28
"SNP_A-1677514",1.58
"SNP_A-1747841",1.75
"SNP_A-1737335",1.52
"SNP_A-1755813",1.83
"SNP_A-1670902",1.77
"SNP_A-1734642",1.57
"SNP_A-1747364",1.51
"SNP_A-1747266",1.68
"SNP_A-1747118",1.54
"SNP_A-1745353",1.97
"SNP_A-1745179",1.81
"SNP_A-1667036",1.69
"SNP_A-1667950",2.15
"SNP_A-1755067",1.76
"SNP_A-1740923",1.33
"SNP_A-1745466",2.07
"SNP_A-1703272",1.56
"SNP_A-1652197",1.86
"SNP_A-1739955",1.47
"SNP_A-1748063",1.06
"SNP_A-1705830",1.75
"SNP_A-1743804",1.98
"SNP_A-1744186",2.41
"SNP_A-1744304",1.69
"SNP_A-1698066",1.97
"SNP_A-1698244",1.85
"SNP_A-1743594",1.36
"SNP_A-1676349",2.19
"SNP_A-1656665",1.45
"SNP_A-1673751",2.12
"SNP_A-1755914",1.23
"SNP_A-1691957",2.31
"SNP_A-1699284",1.86
"SNP_A-1699392",2.03
"SNP_A-1676650",3.31
"SNP_A-1643131",1.65
"SNP_A-1684395",1.56
"SNP_A-1758748",2.8
"SNP_A-1698235",1.38
"SNP_A-1748913",1.26
"SNP_A-1683539",1.58
"SNP_A-1683663",1.85
"SNP_A-1680344",2.47
"SNP_A-1739552",2.25
"SNP_A-1732642",1.37
"SNP_A-1739789",1.83
"SNP_A-1736295",2.73
"SNP_A-1645816",1.83
"SNP_A-1648760",2.21
"SNP_A-1675914",1.93
"SNP_A-1683704",1.82
"SNP_A-1682335",2.14
